mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	tempo_visible	slur	diminuendo_line	crescendo_hairpin	decrescendo_hairpin
20	19	109/2	109/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	202										
20	19	55	55	0.5	1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	203							12			
20	19	111/2	111/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	204							12			
20	19	56	56	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	205							12			
20	19	113/2	113/2	0.5	1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	206							12			
20	19	57	57	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	207										
21	20	115/2	115/2	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	208	Meer,									
21	20	60	60	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	209	wohl									
21	20	58	58	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	210			articStaccatoBelow							
21	20	117/2	117/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	211			articStaccatoBelow							
21	20	119/2	119/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	212			articStaccatoBelow							
21	20	60	60	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	213			articStaccatoBelow							
21	20	115/2	115/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	214										
21	20	58	58	0.5	1/8	1/8	Chord	6/8	3	1	1/8		1/8	1	215			articStaccatoAbove							
21	20	117/2	117/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	216			articStaccatoAbove							
21	20	59	59	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	217										
21	20	119/2	119/2	0.5	1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	218			articStaccatoAbove							
21	20	60	60	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	219			articStaccatoAbove							
22	21	121/2	121/2	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	220	ü-									
22	21	245/4	245/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	221	-ber 									
22	21	123/2	123/2	0.0	1/4	1/4	Spanner	6/8	1	1	0													5	
22	21	123/2	123/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	222	das								5	
22	21	62	62	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	223	Meer						13		5	
22	21	125/2	125/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	224									5	
22	21	63	63	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	225	und								5	
22	21	121/2	121/2	0.0	0	0	Spanner	6/8	2	1	0													6	
22	21	121/2	121/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	226									6	
22	21	123/2	123/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	227									6	
22	21	62	62	0.75	3/8	3/8	Chord	6/8	2	1	3/16		1/8	3/2	228									6	
22	21	251/4	251/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	229									6	
22	21	63	63	0.0	5/8	5/8	Spanner	6/8	2	1	0														
22	21	63	63	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	230										
22	21	121/2	121/2	1.0	0	0	Chord	6/8	3	1	1/4		1/4	1	231										
22	21	123/2	123/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	232										
22	21	62	62	0.75	3/8	3/8	Chord	6/8	3	1	3/16		1/8	3/2	233										
22	21	251/4	251/4	0.25	9/16	9/16	Chord	6/8	3	1	1/16		1/16	1	234										
22	21	63	63	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	235										
23	22	127/2	127/2	0.0	0	0	Spanner	6/8	1	1	0														
23	22	127/2	127/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	236	wei-									
23	22	129/2	129/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	237	-ter,									
23	22	65	65	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	238	bis									
23	22	127/2	127/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	239							14			
23	22	129/2	129/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	240										
23	22	65	65	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	241										
23	22	127/2	127/2	1.5	0	0	Chord	6/8	2	2	3/8		1/4	3/2	242										
23	22	127/2	127/2	1.0	0	0	Chord	6/8	3	1	1/4		1/4	1	243							15			
23	22	129/2	129/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	244										
23	22	66	66	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	245							16			
23	22	65	65	1.5	3/8	3/8	Chord	6/8	3	2	3/8		1/4	3/2	246			articAccentAbove							
24	23	133/2	133/2	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	247	dass									
24	23	269/4	269/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	248	ich									
24	23	135/2	135/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	249	im									
24	23	68	68	0.0	3/8	3/8	Spanner	6/8	1	1	0														4
24	23	68	68	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	250	Him-									4
24	23	69	69	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	251	-mel									4
24	23	133/2	133/2	0.0	0	0	Spanner	6/8	2	1	0													7	
24	23	133/2	133/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	252									7	
24	23	135/2	135/2	0.0	1/4	1/4	Spanner	6/8	2	1	0														
24	23	135/2	135/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	253										
24	23	68	68	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	254										
24	23	137/2	137/2	0.0	1/2	1/2	Spanner	6/8	2	1	0														5
24	23	137/2	137/2	1.0	1/2	1/2	Chord	6/8	2	1	1/4		1/4	1	255										5
24	23	133/2	133/2	1.0	0	0	Chord	6/8	3	1	1/4		1/4	1	256							16			
24	23	135/2	135/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	257							16			
24	23	68	68	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	258							16			
24	23	133/2	133/2	1.0	0	0	Chord	6/8	3	2	1/4		1/4	1	259										
24	23	135/2	135/2	0.5	1/4	1/4	Chord	6/8	3	2	1/8		1/8	1	260										
24	23	68	68	0.5	3/8	3/8	Chord	6/8	3	2	1/8		1/8	1	261										
24	23	137/2	137/2	0.5	1/2	1/2	Chord	6/8	3	2	1/8		1/8	1	262										
24	23	69	69	0.5	5/8	5/8	Chord	6/8	3	2	1/8		1/8	1	263										
25	24	139/2	139/2	0.0	0	0	Spanner	6/8	1	1	0														
25	24	139/2	139/2	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	264	wär'.									
25	24	72	72	0.0	5/8	5/8	Dynamic	6/8	1	1	0						p								
25	24	72	72	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	265	Es									
25	24	139/2	139/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	266										5
25	24	70	70	0.0	1/8	1/8	Spanner	6/8	2	1	0														
25	24	141/2	141/2	0.0	1/4	1/4	Spanner	6/8	2	1	0														6
25	24	141/2	141/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	267			articStaccatoAbove				17			6
25	24	71	71	0.0	3/8	3/8	Spanner	6/8	2	1	0														
25	24	71	71	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	268			articStaccatoAbove							
25	24	72	72	0.0	5/8	5/8	Dynamic	6/8	2	1	0						p								
25	24	72	72	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	269			articStaccatoBelow							
25	24	139/2	139/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	270										
25	24	141/2	141/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	271			articStaccatoAbove				18			
25	24	71	71	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	272			articStaccatoAbove							
25	24	72	72	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	273			articStaccatoAbove							
26	25	145/2	145/2	0.0	0	0	Tempo	6/8	1	1	0								ErstesTempo	80.0	1.0				
26	25	145/2	145/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	274	weiss									
26	25	147/2	147/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	275	und									
26	25	74	74	0.75	3/8	3/8	Chord	6/8	1	1	3/16		1/8	3/2	276	räth'									
26	25	299/4	299/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	277	es									
26	25	75	75	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	278	doch									
26	25	145/2	145/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	279			articStaccatoBelow							
26	25	147/2	147/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	280			articStaccatoBelow							
26	25	74	74	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	281			articStaccatoBelow							
26	25	75	75	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	282			articStaccatoBelow							
26	25	145/2	145/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	283			articStaccatoAbove							
26	25	147/2	147/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	284			articStaccatoAbove							
26	25	74	74	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	285			articStaccatoAbove							
26	25	75	75	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	286			articStaccatoAbove							
27	26	151/2	151/2	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	287	Kei-									
27	26	77	77	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	288	-ner,									
27	26	151/2	151/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	289							19			
27	26	77	77	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	290										
27	26	151/2	151/2	1.5	0	0	Chord	6/8	3	1	3/8		1/4	3/2	291							20			
27	26	77	77	1.0	3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	292										
28	27	157/2	157/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	293	wie									
28	27	79	79	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	294	mir									
28	27	159/2	159/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	295	so									
28	27	80	80	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	296	wohl									
28	27	161/2	161/2	0.75	1/2	1/2	Chord	6/8	1	1	3/16		1/8	3/2	297	ist,									
28	27	325/4	325/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	298	so									
28	27	157/2	157/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	299			articStaccatoBelow							
28	27	80	80	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	300			articStaccatoBelow							
28	27	157/2	157/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	301			articStaccatoAbove							
28	27	80	80	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	302			articStaccatoAbove							
29	28	163/2	163/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	303	wohl,									
29	28	84	84	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	304	ach!									
29	28	163/2	163/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	305			articStaccatoBelow							
29	28	163/2	163/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	306			articStaccatoAbove							
30	29	169/2	169/2	0.75	0	0	Chord	6/8	1	1	3/16		1/8	3/2	307	wüsst'									
30	29	341/4	341/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	308	es									
30	29	171/2	171/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	309	nur									
30	29	86	86	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	310	Ei-									
30	29	173/2	173/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	311	-ner,									
30	29	87	87	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	312	nur									
30	29	169/2	169/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	313			articStaccatoBelow							
30	29	171/2	171/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	314			articStaccatoBelow							
30	29	86	86	0.0	3/8	3/8	Spanner	6/8	2	1	0													8	
30	29	86	86	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	315			articStaccatoBelow						8	
30	29	87	87	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	316			articStaccatoBelow						8	
30	29	169/2	169/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	317			articStaccatoAbove							
30	29	171/2	171/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	318			articStaccatoAbove							
30	29	86	86	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	319			articStaccatoAbove							
30	29	87	87	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	320			articStaccatoAbove							
31	30	175/2	175/2	0.0	0	0	Spanner	6/8	1	1	0													9	
31	30	175/2	175/2	0.0	0	0	Chord	6/8	1	1	0	grace16after	1/16	1	321									9	
31	30	175/2	175/2	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	322	Ei-								9	
31	30	89	89	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	323	-ner,								9	
31	30	90	90	0.0	5/8	5/8	Spanner	6/8	1	1	0														
31	30	90	90	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	324	kein									
31	30	175/2	175/2	0.0	0	0	Spanner	6/8	2	1	0														
31	30	175/2	175/2	0.0	0	0	Spanner	6/8	2	1	0													10	
31	30	175/2	175/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	325									10	
31	30	89	89	0.0	3/8	3/8	Spanner	6/8	2	1	0														
31	30	89	89	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	326			articAccentAbove				21			
31	30	175/2	175/2	1.5	0	0	Chord	6/8	3	1	3/8		1/4	3/2	327										
31	30	89	89	1.5	3/8	3/8	Chord	6/8	3	1	3/8		1/4	3/2	328			articAccentAbove				22			
32	31	181/2	181/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	329	Mensch									
32	31	91	91	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	330	es									
32	31	183/2	183/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	331	sonst									
32	31	92	92	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	332	wis-						23			
32	31	185/2	185/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	333										
32	31	93	93	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	334	-sen									
32	31	181/2	181/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	335										
32	31	183/2	183/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	336										
32	31	92	92	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	337										
32	31	93	93	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	338			articStaccatoAbove				24			
32	31	181/2	181/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	339										
32	31	183/2	183/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	340										
32	31	92	92	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	341										
32	31	93	93	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	342			articStaccatoAbove				25			
33	32	187/2	187/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	343	sollt',									
33	32	95	95	0.0	3/8	3/8	Dynamic	6/8	1	1	0						p								
33	32	95	95	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	344	kein									
33	32	187/2	187/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	345			articStaccatoAbove							
33	32	95	95	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	346										
33	32	187/2	187/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	347			articStaccatoAbove							
33	32	95	95	1.5	3/8	3/8	Chord	6/8	3	1	3/8		1/4	3/2	348										
34	33	193/2	193/2	0.0	0	0	Tempo	6/8	1	1	0								T	70.0	0.0				
34	33	193/2	193/2	0.0	0	0	Spanner	6/8	1	1	0												0		
34	33	193/2	193/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	349	Mensch 							0		
34	33	97	97	0.0	1/8	1/8	Spanner	6/8	1	1	0														
34	33	97	97	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	350	es									
34	33	195/2	195/2	0.0	1/4	1/4	Tempo	6/8	1	1	0								T	65.0	0.0				
34	33	195/2	195/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	351	sonst									
34	33	98	98	0.0	3/8	3/8	Tempo	6/8	1	1	0								T	60.0	0.0				
34	33	98	98	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	352	wis-									
34	33	99	99	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	353	-sen									
34	33	193/2	193/2	0.0	0	0	Spanner	6/8	2	1	0												1		
34	33	193/2	193/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	354							26	1		
34	33	195/2	195/2	0.0	1/4	1/4	Spanner	6/8	2	1	0											26			
34	33	195/2	195/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	355							26			
34	33	98	98	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	356										
34	33	99	99	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	357			articStaccatoBelow							
34	33	193/2	193/2	1.0	0	0	Chord	6/8	3	1	1/4		1/4	1	358										
34	33	195/2	195/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	359										
34	33	98	98	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	360										
34	33	99	99	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	361			articStaccatoAbove							
35	34	199/2	199/2	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	362	sollt'.									
35	34	199/2	199/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	363			articStaccatoBelow							
35	34	201/2	201/2	0.0	1/4	1/4	Dynamic	6/8	2	1	0						p								
35	34	199/2	199/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	364			articStaccatoAbove							
35	34	201/2	201/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	365			articStaccatoAbove							
35	34	101	101	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	366			articStaccatoAbove							
35	34	102	102	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	367			articStaccatoAbove							
36	35	205/2	205/2	0.0	0	0	Spanner	6/8	2	1	0													11	
36	35	207/2	207/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	368			articStaccatoBelow						11	
36	35	104	104	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	369			articStaccatoBelow						11	
36	35	209/2	209/2	0.0	1/2	1/2	Spanner	6/8	2	1	0														
36	35	105	105	0.0	5/8	5/8	Spanner	6/8	2	1	0														7
36	35	105	105	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	370			articStaccatoBelow							7
36	35	205/2	205/2	1.5	0	0	Chord	6/8	3	1	3/8		1/4	3/2	371										
36	35	104	104	1.0	3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	372										
36	35	105	105	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	373			articStaccatoAbove							
37	36	211/2	211/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	374			articStaccatoBelow							7
37	36	106	106	0.0	1/8	1/8	Spanner	6/8	2	1	0														
37	36	211/2	211/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	375			articStaccatoAbove							
37	36	213/2	213/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	376			articStaccatoBelow							
37	36	107	107	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	377			articStaccatoAbove							
37	36	108	108	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	378			articStaccatoBelow							
38	37	217/2	217/2	0.0	0	0	Spanner	6/8	2	1	0													12	
38	37	219/2	219/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	379									12	
38	37	110	110	0.0	3/8	3/8	Spanner	6/8	2	1	0														
38	37	110	110	0.0	3/8	3/8	Spanner	6/8	2	1	0														8
38	37	110	110	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	380										8
38	37	111	111	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	381			articStaccatoAbove							8
38	37	217/2	217/2	1.5	0	0	Chord	6/8	3	1	3/8		1/4	3/2	382										
38	37	110	110	1.0	3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	383										
38	37	111	111	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	384			articStaccatoBelow							
39	38	223/2	223/2	0.0	0	0	Spanner	6/8	2	1	0														
39	38	223/2	223/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	385			articStaccatoAbove							
39	38	113	113	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	386										
39	38	223/2	223/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	387			articStaccatoBelow							
39	38	225/2	225/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	388							27			
39	38	113	113	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	389							27			
39	38	227/2	227/2	0.5	1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	390							27			
39	38	114	114	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	391							27			
39	38	227/2	227/2	1.0	1/2	1/2	Chord	6/8	3	2	1/4		1/4	1	392										
40	39	229/2	229/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	393										
40	39	229/2	229/2	1.0	0	0	Chord	6/8	3	1	1/4		1/4	1	394										
